TPCH_QUERY5_TOP3_FROM10, Union, Precision=1.0, Recall=1.0
TPCH_QUERY5_TOP3_FROM10, FD, Precision=1.0, Recall=1.0
TPCH_QUERY5_TOP3_FROM10, FDP_Plus, Precision=1.0, Recall=1.0
,,,
TPCH_QUERY5_TOP4_FROM10, Intersection, Precision=1.0, Recall=1.0
TPCH_QUERY5_TOP4_FROM10, Union, Precision=1.0, Recall=1.0
TPCH_QUERY5_TOP4_FROM10, FD, Precision=1.0, Recall=1.0
TPCH_QUERY5_TOP4_FROM10, FDP_Plus, Precision=1.0, Recall=1.0
,,,
TPCH_QUERY5_TOP5_FROM10, Intersection, Precision=1.0, Recall=1.0
TPCH_QUERY5_TOP5_FROM10, Union, Precision=1.0, Recall=1.0
TPCH_QUERY5_TOP5_FROM10, FD, Precision=1.0, Recall=1.0
TPCH_QUERY5_TOP5_FROM10, FDP_Plus, Precision=1.0, Recall=1.0
,,,
TPCH_QUERY5_TOP6_FROM10, Intersection, Precision=1.0, Recall=1.0
TPCH_QUERY5_TOP6_FROM10, Union, Precision=1.0, Recall=1.0
TPCH_QUERY5_TOP6_FROM10, FD, Precision=1.0, Recall=1.0
TPCH_QUERY5_TOP6_FROM10, FDP_Plus, Precision=1.0, Recall=1.0
,,,
TPCH_QUERY5_TOP7_FROM10, Intersection, Precision=1.0, Recall=1.0
TPCH_QUERY5_TOP7_FROM10, Union, Precision=1.0, Recall=1.0
